s,t,x,y 
       0.0,   0.000000,    140.000,     90.000
       1.0,   0.062832,    132.324,     85.137
       2.0,   0.125664,    124.507,     80.677
       3.0,   0.188496,    116.748,     76.699
       4.0,   0.251328,    109.248,     73.234
       5.0,   0.314160,    102.177,     70.268
       6.0,   0.376992,     95.666,     67.757
       7.0,   0.439824,     89.804,     65.636
       8.0,   0.502656,     84.640,     63.835
       9.0,   0.565488,     80.189,     62.286
      10.0,   0.628320,     76.441,     60.933
      11.0,   0.691152,     73.373,     59.726
      12.0,   0.753984,     70.950,     58.629
      13.0,   0.816816,     69.128,     57.615
      14.0,   0.879648,     67.859,     56.671
      15.0,   0.942480,     67.097,     55.786
      16.0,   1.005312,     66.800,     54.958
      17.0,   1.068144,     66.928,     54.186
      18.0,   1.130976,     67.442,     53.473
      19.0,   1.193808,     68.308,     52.823
      20.0,   1.256640,     69.492,     52.244
      21.0,   1.319472,     70.965,     51.741
      22.0,   1.382304,     72.697,     51.321
      23.0,   1.445136,     74.664,     50.992
      24.0,   1.507968,     76.840,     50.758
      25.0,   1.570800,     79.204,     50.625
      26.0,   1.633632,     81.733,     50.598
      27.0,   1.696464,     84.409,     50.681
      28.0,   1.759296,     87.212,     50.877
      29.0,   1.822128,     90.125,     51.188
      30.0,   1.884960,     93.131,     51.614
      31.0,   1.947792,     96.215,     52.157
      32.0,   2.010624,     99.363,     52.815
      33.0,   2.073456,    102.561,     53.587
      34.0,   2.136288,    105.796,     54.470
      35.0,   2.199120,    109.057,     55.461
      36.0,   2.261952,    112.332,     56.557
      37.0,   2.324784,    115.612,     57.753
      38.0,   2.387616,    118.887,     59.045
      39.0,   2.450448,    122.148,     60.426
      40.0,   2.513280,    125.389,     61.892
      41.0,   2.576112,    128.601,     63.437
      42.0,   2.638944,    131.780,     65.053
      43.0,   2.701776,    134.918,     66.737
      44.0,   2.764608,    138.012,     68.480
      45.0,   2.827440,    141.057,     70.277
      46.0,   2.890272,    144.050,     72.123
      47.0,   2.953104,    146.988,     74.012
      48.0,   3.015936,    149.867,     75.938
      49.0,   3.078768,    152.686,     77.896
      50.0,   3.141600,    155.443,     79.883
      51.0,   3.204432,    158.136,     81.893
      52.0,   3.267264,    160.764,     83.923
      53.0,   3.330096,    163.325,     85.969
      54.0,   3.392928,    165.819,     88.029
      55.0,   3.455760,    168.244,     90.100
      56.0,   3.518592,    170.598,     92.179
      57.0,   3.581424,    172.881,     94.264
      58.0,   3.644256,    175.092,     96.353
      59.0,   3.707088,    177.227,     98.444
      60.0,   3.769920,    179.286,    100.535
      61.0,   3.832752,    181.266,    102.625
      62.0,   3.895584,    183.164,    104.711
      63.0,   3.958416,    184.979,    106.792
      64.0,   4.021248,    186.707,    108.863
      65.0,   4.084080,    188.345,    110.922
      66.0,   4.146912,    189.890,    112.966
      67.0,   4.209744,    191.339,    114.991
      68.0,   4.272576,    192.687,    116.991
      69.0,   4.335408,    193.932,    118.961
      70.0,   4.398240,    195.070,    120.894
      71.0,   4.461072,    196.096,    122.785
      72.0,   4.523904,    197.009,    124.624
      73.0,   4.586736,    197.803,    126.403
      74.0,   4.649568,    198.475,    128.111
      75.0,   4.712400,    199.022,    129.738
      76.0,   4.775232,    199.439,    131.271
      77.0,   4.838064,    199.724,    132.697
      78.0,   4.900896,    199.872,    134.001
      79.0,   4.963728,    199.878,    135.167
      80.0,   5.026560,    199.738,    136.175
      81.0,   5.089392,    199.447,    137.008
      82.0,   5.152224,    198.997,    137.643
      83.0,   5.215056,    198.383,    138.057
      84.0,   5.277888,    197.594,    138.225
      85.0,   5.340720,    196.620,    138.118
      86.0,   5.403552,    195.445,    137.707
      87.0,   5.466384,    194.053,    136.960
      88.0,   5.529216,    192.421,    135.845
      89.0,   5.592048,    190.522,    134.329
      90.0,   5.654880,    188.323,    132.379
      91.0,   5.717712,    185.783,    129.966
      92.0,   5.780544,    182.856,    127.069
      93.0,   5.843376,    179.487,    123.676
      94.0,   5.906208,    175.618,    119.793
      95.0,   5.969040,    171.193,    115.450
      96.0,   6.031872,    166.164,    110.705
      97.0,   6.094704,    160.502,    105.651
      98.0,   6.157536,    154.213,    100.413
      99.0,   6.220368,    147.345,     95.142
     100.0,   6.283200,    139.998,     89.999
